ID,NEXT,MPHON,FEAT,BASEF,FLAG
Words,selvi-A/v,si{kØ}i,,siitä,
Words,koho-A/v,la{kØ}o,,laota,
Words,koho-A/v,pa{td}o,,padota,
Words,koho-A/v,sin{kg}o,,singota,
Words,koho-A/v,se{kØ}o,,seota,
Words,koho-A/v,koho,,kohota,
Words,koho-A/v,ko{kØ}o,,koota,
Words,koho-A/v,jymy,,jymytä,
Words,halu-A/v,lii{td}u,,liiduta,
Words,halu-A/v,kum{pm}u,,kummuta,
Words,halu-A/v,halu,,haluta,
Words,halu-A/v,ki{pv}u,,kivuta,
Words,halu-A/v,äly,,älytä,
Words,halu-A/v,öljy,,öljytä,
Words,halu-A/v,ryöp{pØ}y,,ryöpytä,
Words,pala-V/v,pala,,palata,
Words,pala-V/v,kai{pv}a,,kaivata,
Words,pala-V/v,hyl{kj}ä,,hyljätä,
Words,pala-V/v,hyl{kØ}ä,,hylätä,
Words,pala-V/v,le{pv}ä,,levätä,
Words,kih-ise/v,koh,,kohista,
Words,kih-ise/v,kih,,kihistä,
Words,öl-ise/v,öl,,ölistä,
Words,rake-ntA/v,rake,,rakentaa,
Words,rake-ntA/v,lyhe,,lyhentää,
Words,tai-tA/v,tai,,taitaa,
Words,antau-tU/v,antau,,antautua,
Words,antau-tU/v,repey,,repeytyä,
Words,kaa-ta/v,kaa,,kaata,
Words,kaa-ta/v,tai,,taita,
Words,kaa-ta/v,tu,,tuta,
